split,threshold,loss,iou,precision,recall,f1,mae
validation,0.05,0.5795807274182637,0.5206278014183044,0.5524821734428406,0.9098276551564535,0.6741531380017598,0.14698632220427196
validation,0.1,0.5795807274182637,0.550761360724767,0.6067302862803141,0.8672886753082275,0.7010838691393534,0.14698632220427196
validation,0.15,0.5795807274182637,0.5621662656466166,0.6328269712130229,0.8447164376576741,0.7111792063713074,0.14698632220427196
validation,0.2,0.5795807274182637,0.5678371218840281,0.6482737954457601,0.8308029508590699,0.7160899655024211,0.14698632220427196
validation,0.25,0.5795807274182637,0.5711429599920909,0.6595687786738078,0.8196693587303162,0.7190209873517355,0.14698632220427196
validation,0.3,0.5795807274182637,0.5732966919740041,0.6692424154281617,0.8093153222401936,0.7209354368845622,0.14698632220427196
validation,0.35,0.5795807274182637,0.5752837252616883,0.6787105600039164,0.799211790561676,0.7226404865582784,0.14698632220427196
validation,0.4,0.5795807274182637,0.57658105413119,0.6876524265607198,0.7893351825078329,0.7237802489598593,0.14698632220427196
validation,0.45,0.5795807274182637,0.5770873399575551,0.6961985532442728,0.779123440583547,0.7242726461092631,0.14698632220427196
validation,0.5,0.5795807274182637,0.5765264570713043,0.7043655196825663,0.7680573503176371,0.7238632146517435,0.14698632220427196
validation,0.55,0.5795807274182637,0.5755630536874136,0.7128677765528361,0.7563743686676025,0.7230884909629822,0.14698632220427196
validation,0.6,0.5795807274182637,0.573197090625763,0.7216466331481933,0.7427600328127543,0.7212403686841329,0.14698632220427196
validation,0.65,0.5795807274182637,0.5701163975397746,0.7317989484469096,0.7271452236175537,0.7187437772750854,0.14698632220427196
validation,0.7,0.5795807274182637,0.5653346900145213,0.7443737816810608,0.7075424901644389,0.7147770094871521,0.14698632220427196
validation,0.75,0.5795807274182637,0.5558336210250855,0.7610406303405761,0.6787537709871928,0.7068982330958048,0.14698632220427196
validation,0.8,0.5795807274182637,0.5406575278441111,0.7806757958730062,0.6418643069267272,0.6940830405553182,0.14698632220427196
validation,0.85,0.5795807274182637,0.5136186710993449,0.8063466572761535,0.5889073165257772,0.6704621426264445,0.14698632220427196
validation,0.9,0.5795807274182637,0.45837920387585956,0.8409490132331848,0.503448136250178,0.6192358835538229,0.14698632220427196
validation,0.95,0.5795807274182637,0.33666319668293,0.9037567790349325,0.3498309250672658,0.4909888911247253,0.14698632220427196
test,0.05,0.5159443759918213,0.5299186893304189,0.5496395216385523,0.9466665307680766,0.6825301651159922,0.13951545317967734
test,0.1,0.5159443759918213,0.5692580838998159,0.6094720411300659,0.9109092020988464,0.716631262699763,0.13951545317967734
test,0.15,0.5159443759918213,0.58275262037913,0.637682997584343,0.8862820323308309,0.7281859489281972,0.13951545317967734
test,0.2,0.5159443759918213,0.5891157988707224,0.6542992732922236,0.8701908516883851,0.7336342696348827,0.13951545317967734
test,0.25,0.5159443759918213,0.5925470934311549,0.6664378496011099,0.8571163813273112,0.736628045241038,0.13951545317967734
test,0.3,0.5159443759918213,0.594339071114858,0.6766134442885717,0.8448753293355306,0.7382604229450226,0.13951545317967734
test,0.35,0.5159443759918213,0.5952816394964854,0.6860847677787145,0.8325370327631633,0.7391448764006296,0.13951545317967734
test,0.4,0.5159443759918213,0.5955613936980565,0.6948887401819229,0.8203479592005412,0.7394105573495229,0.13951545317967734
test,0.45,0.5159443759918213,0.5951333675781886,0.7033023434877396,0.8078775469462077,0.7390521228313446,0.13951545317967734
test,0.5,0.5159443759918213,0.5941322241226832,0.7117894198497137,0.7947961695988973,0.7382153451442719,0.13951545317967734
test,0.55,0.5159443759918213,0.5927355833848318,0.7208944976329803,0.7810722907384237,0.7370718673865,0.13951545317967734
test,0.6,0.5159443759918213,0.5905692583322525,0.7304669042428334,0.7663053282101949,0.7353270959854126,0.13951545317967734
test,0.65,0.5159443759918213,0.587977746129036,0.742171634833018,0.7493217317263285,0.7331839708487192,0.13951545317967734
test,0.7,0.5159443759918213,0.5835871984561284,0.7571057840188344,0.7272322797775268,0.7295055286089579,0.13951545317967734
test,0.75,0.5159443759918213,0.5745936560630799,0.7763946243127187,0.6961804604530335,0.7219891305764516,0.13951545317967734
test,0.8,0.5159443759918213,0.5588331973552704,0.7983363966147105,0.6566572070121766,0.7085555672645569,0.13951545317967734
test,0.85,0.5159443759918213,0.5303815201918284,0.8262544000148773,0.6011715094248454,0.6838914148012797,0.13951545317967734
test,0.9,0.5159443759918213,0.47361788908640545,0.862050716082255,0.5143461120128632,0.6319122723738353,0.13951545317967734
test,0.95,0.5159443759918213,0.33777162313461306,0.9149930588404338,0.34947384397188824,0.4915097876389821,0.13951545317967734
