epoch,lr,train_loss,train_iou,train_precision,train_recall,train_f1,train_mae,val_loss,val_iou,val_precision,val_recall,val_f1,val_mae
1,0.00035,0.5830097845622472,0.5748174963678633,0.7016931395871299,0.7744718197413853,0.7241288678986686,0.18366847894021443,0.6022291858990987,0.5301333856582642,0.6343325297037761,0.7824270311991374,0.6849932646751404,0.1751065840323766
2,0.00035,0.5582254835537501,0.5863584111418043,0.7102063146659306,0.7831943719727652,0.7340926926476615,0.17158455516610827,0.5979661536216736,0.5330116768678029,0.6779830114046732,0.7273309524854025,0.6876082317034403,0.16455323259035745
3,0.00035,0.5623370695114136,0.5852033121245248,0.709007283789771,0.7843419556958334,0.731778735603605,0.17075634330511094,0.5869300905863444,0.5398051623503367,0.6546398576100667,0.7707673994700114,0.6943496505419413,0.16910483519236247
4,0.00035,0.54868889604296,0.5870968651771545,0.7098003772326879,0.7909081782613482,0.7349770656653813,0.16683400013617106,0.5875576670964558,0.5448706372578939,0.6469342168172201,0.789484932422638,0.696874873638153,0.17372973024845123
5,0.00035,0.5342465877532959,0.5997289029189519,0.719844126871654,0.7938883430617196,0.7443192631857736,0.15978511376040322,0.6196308588981628,0.5386211740970611,0.6018763717015584,0.8514795303344727,0.6916958578427632,0.18235446790854137
6,0.00035,0.5400894016878945,0.5975784473759788,0.7257334557601384,0.7862567503111703,0.7422630230018071,0.16180407166481017,0.5715615932146708,0.5544614517688751,0.6923305654525757,0.7524045419692993,0.7069942927360535,0.15676726897557577
7,0.00035,0.5293972943510328,0.6085648316996438,0.7276695341723306,0.8003207305499486,0.7511470638002669,0.15636684519904,0.5729696122805278,0.5546049809455872,0.6754448668162027,0.7750834520657858,0.707179106871287,0.1569598885377248
8,0.00035,0.5144681199959347,0.6104661680970873,0.7313334562097277,0.8020555390630449,0.7531771751812526,0.15272867577416557,0.575443971157074,0.5526834746201833,0.6594719012578328,0.7906874052683512,0.7052825490633646,0.16124424914518992
9,0.00035,0.5292298579216004,0.6046323609352112,0.7328933906555176,0.7883475024359566,0.7488270800454276,0.1560204761156014,0.5700421301523845,0.5532627431551616,0.693967346350352,0.74793372631073,0.7062989298502604,0.1536220755179723
10,0.00035,0.5140564572811127,0.615422180891037,0.7427301376206534,0.7916510042122432,0.7567758001599993,0.1518272485903331,0.5724877921740213,0.5542155635356903,0.6749053565661113,0.7713147926330567,0.7063160920143128,0.15831053058306377
11,0.00035,0.5017836557115827,0.6215967398881912,0.7422493313040052,0.805205956186567,0.761298485994339,0.1475949243562562,0.5701449894905091,0.5572898411750793,0.6909707268079122,0.7562391980489095,0.7075637968381246,0.15001571754614512
12,0.00035,0.5107796890395028,0.6175702326638358,0.7393411884989057,0.8019401247160776,0.7581075097833361,0.15015666595527105,0.5535966086387635,0.5678832046190898,0.6958357302347818,0.7712732235590617,0.7183162554105122,0.14689098477363585
13,0.00035,0.4898984236376626,0.6308186502116067,0.7482382823739733,0.8155047106742859,0.7690535817827497,0.14299546297107424,0.5789686703681945,0.5540937876701355,0.6454965949058533,0.8132313815752665,0.706727790037791,0.1625048178434372
14,0.00035,0.4831876288993018,0.6331171502385821,0.7497872812407357,0.8129778800691877,0.7700785977499826,0.14260578270469393,0.5766820939381917,0.5548962632815043,0.6729833221435547,0.7757794507344564,0.7067271749178569,0.1547670841217041
15,0.00035,0.4972070674385343,0.6307713794708252,0.7579901804242816,0.7999567122118814,0.768571880885533,0.14296969279646873,0.5808179887135824,0.55746013879776,0.646183606783549,0.8212460096677144,0.7080595453580221,0.16275899350643158
16,0.000175,0.49938926356179375,0.6223414802551269,0.7464743522235325,0.8024493040357317,0.7623216271400451,0.14744884959289006,0.5650118231773377,0.5602386184533437,0.6675230582555135,0.7921504441897075,0.7109354178110758,0.16139782567818958
17,0.000175,0.4726312475545066,0.6455246264593942,0.7594879700456347,0.8190554741450718,0.7796331575938633,0.13643808162638119,0.5422755789756775,0.5753860171635946,0.6932566491762797,0.7866533517837524,0.723571449915568,0.14505318482716878
18,0.000175,0.4770509514638356,0.6433738684654235,0.7619030920096806,0.8174672644478934,0.7783835671629225,0.13662878338779721,0.5443695616722107,0.5742913091182709,0.6997050698598226,0.7740885591506959,0.7220766560236613,0.14536576827367148
19,0.000175,0.4623208381448473,0.6527732866150993,0.7744313774790083,0.8144383202280318,0.7853577174459185,0.13225421990667072,0.5412078976631165,0.5765264570713043,0.7043655196825663,0.7680573503176371,0.7238632146517435,0.14698632220427196
20,0.000175,0.46577883882181986,0.6482647863456181,0.7625791432176318,0.8196780439785548,0.7813323077133724,0.13542119643517903,0.5495669142405192,0.5712005058924358,0.6866648809115092,0.786282308101654,0.7201788735389709,0.14792280276616415
